artist,asset,candidate,candidate_score,common,credit,key,license,rank,scientific,source,status,url
,calidris-alpina.webp,,,Dunlin,,calidris-alpina,,216,Calidris alpina,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVSchinzs_Sandpiper.jpg
,,,,Stilt Sandpiper,,calidris-himantopus,,217,Calidris himantopus,,missing-source,
,calidris-subruficollis.webp,,,Buff-breasted Sandpiper,,calidris-subruficollis,,218,Calidris subruficollis,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVBuff-breasted_Sandpiper.jpg
,calidris-pugnax.webp,,,Ruff,,calidris-pugnax,,219,Calidris pugnax,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVRuff.jpg
,,,,Short-billed Dowitcher,,limnodromus-griseus,,220,Limnodromus griseus,,missing-source,
,,,,Long-billed Dowitcher,,limnodromus-scolopaceus,,221,Limnodromus scolopaceus,,missing-source,
,,,,Wilson's Snipe,,gallinago-delicata,,222,Gallinago delicata,,missing-source,
,,,,American Woodcock,,scolopax-minor,,223,Scolopax minor,,missing-source,
,,,,Wilson's Phalarope,,phalaropus-tricolor,,224,Phalaropus tricolor,,missing-source,
,phalaropus-lobatus.webp,,,Red-necked Phalarope,,phalaropus-lobatus,,225,Phalaropus lobatus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVRed-necked_Phalarope.jpg
